iter	Passed	Remaining
775	5341	1541
776	5349	1535
777	5362	1530
778	5371	1523
779	5378	1517
780	5387	1510
781	5393	1503
782	5398	1496
783	5405	1489
784	5411	1482
785	5417	1475
786	5424	1468
787	5429	1460
788	5440	1454
789	5445	1447
790	5452	1440
791	5458	1433
792	5467	1427
793	5475	1420
794	5482	1413
795	5489	1406
796	5495	1399
797	5504	1393
798	5510	1386
799	5517	1379
800	5522	1372
801	5528	1364
802	5535	1358
803	5540	1350
804	5548	1343
805	5553	1336
806	5558	1329
807	5569	1323
808	5574	1316
809	5581	1309
810	5587	1302
811	5593	1295
812	5600	1288
813	5606	1280
814	5612	1274
815	5617	1266
816	5623	1259
817	5633	1253
818	5638	1246
819	5644	1239
820	5650	1231
821	5655	1224
822	5664	1218
823	5669	1210
824	5675	1203
825	5680	1196
826	5686	1189
827	5697	1183
828	5702	1176
829	5708	1169
830	5714	1162
831	5719	1154
832	5728	1148
833	5735	1141
834	5743	1134
835	5748	1127
836	5753	1120
837	5763	1114
838	5768	1106
839	5774	1099
840	5780	1092
841	5785	1085
842	5794	1079
843	5800	1072
844	5806	1065
845	5812	1058
846	5817	1050
847	5827	1044
848	5832	1037
849	5839	1030
850	5846	1023
851	5857	1017
852	5864	1010
853	5870	1003
854	5877	996
855	5882	989
856	5893	983
857	5899	976
858	5906	969
859	5911	962
860	5918	955
861	5925	948
862	5930	941
863	5937	934
864	5942	927
865	5948	920
866	5957	913
867	5963	906
868	5970	900
869	5975	892
870	5981	885
871	5988	879
872	5995	872
873	6003	865
874	6008	858
875	6015	851
876	6023	844
877	6028	837
878	6035	830
879	6041	823
880	6047	816
881	6054	810
882	6059	802
883	6067	796
884	6073	789
885	6078	782
886	6091	776
887	6099	769
888	6105	762
889	6115	755
890	6122	748
891	6129	742
892	6136	735
893	6142	728
894	6153	721
895	6160	715
896	6167	708
897	6175	701
898	6186	695
899	6194	688
900	6205	681
901	6217	675
902	6226	668
903	6232	661
904	6241	655
905	6249	648
906	6256	641
907	6263	634
908	6269	627
909	6277	620
910	6284	613
911	6289	606
912	6296	599
913	6301	592
914	6310	586
915	6316	579
916	6322	572
917	6330	565
918	6345	559
919	6351	552
920	6359	545
921	6365	538
922	6373	531
923	6380	524
924	6387	517
925	6393	510
926	6398	503
927	6410	497
928	6416	490
929	6424	483
930	6429	476
931	6436	469
932	6443	462
933	6448	455
934	6456	448
935	6461	441
936	6467	434
937	6474	427
938	6480	420
939	6487	414
940	6492	407
941	6500	400
942	6507	393
943	6514	386
944	6521	379
945	6527	372
946	6537	365
947	6542	358
948	6549	351
949	6554	344
950	6559	337
951	6564	331
952	6571	324
953	6576	317
954	6584	310
955	6589	303
956	6594	296
957	6605	289
958	6611	282
959	6617	275
960	6623	268
961	6629	261
962	6636	254
963	6641	248
964	6648	241
965	6653	234
966	6658	227
967	6668	220
968	6673	213
969	6681	206
970	6686	199
971	6692	192
972	6702	185
973	6708	179
974	6716	172
975	6721	165
976	6729	158
977	6735	151
978	6740	144
979	6747	137
980	6753	130
981	6759	123
982	6766	117
983	6771	110
984	6779	103
985	6784	96
986	6794	89
987	6799	82
988	6806	75
989	6812	68
990	6818	61
991	6827	55
992	6832	48
993	6838	41
994	6845	34
995	6850	27
996	6860	20
997	6867	13
998	6873	6
999	6878	0
